key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_rpt.request_uuid_info,Document Edit Information,<p>The request_uuid_info table is used in the Data-In space to understand how users are entering documents and what edits are being made around those documents. This table is used for both dashboards and ad-hoc queries.</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,lpaulsen;ollib783,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.request_uuid_info_prf,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.request_uuid_info_ty19,Request Uuid Info Type 19,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.retention_analytics_master,Retention Analytics Master,"<p>This table stores data about orders made for TurboTax alone with information about revenue, efile status, product recommendation score, multifiler information, start and completed skus etc. This data is partitioned by tax year.</p>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.retention_analytics_master_ytd,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_auth_fact_clickstream_daily_summary,Report Auth Fact Clickstream Daily Summary,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_auth_fact_clickstream_daily_summary_historical,Report Auth Fact Clickstream Daily Summary Historical,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_care_cct_interactions,care cct interactions,"<p>Provides all contact volume and related fields, flags, and measures for TurboTax customer and expert interactions.</p>",N/A,,null,,,ayenneti;gnarayana,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_case_uid,Case UID,<p>Case Universal ID Table</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.rpt_ctg_care_case,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
